ID	遊戲	牌況	類型	玩家牌	2	3	4	5	6	7	8	9	10	A
*	美式21	基本	對子	A	P	P	P	P	P	P	P	P	P	P
*	美式21	基本	對子	10	S	S	S	S	S	S	S	S	S	S
*	美式21	基本	對子	9	S	S	P	P	P	S	P	P	S	S
*	美式21	基本	對子	8	P	P	P	P	P	P	P	P	H	H
*	美式21	基本	對子	7	P	P	P	P	P	P	H	H	H	H
*	美式21	基本	對子	6	H	H	H	P	P	H	H	H	H	H
*	美式21	基本	對子	5	D	D	D	D	D	D	D	H	H	H
*	美式21	基本	對子	4	H	H	H	H	H	H	H	H	H	H
*	美式21	基本	對子	3	H	P	P	P	P	P	P	H	H	H
*	美式21	基本	對子	2	H	P	P	P	P	P	P	H	H	H
*	美式21	基本	硬牌	21	S	S	S	S	S	S	S	S	S	S
*	美式21	基本	硬牌	20	S	S	S	S	S	S	S	S	S	S
*	美式21	基本	硬牌	19	S	S	S	S	S	S	S	S	S	S
*	美式21	基本	硬牌	18	S	S	S	S	S	S	S	S	S	S
*	美式21	基本	硬牌	17	S	S	S	S	S	S	S	S	S	H
*	美式21	基本	硬牌	16	S	S	S	S	S	H	H	H	H	H
*	美式21	基本	硬牌	15	S	S	S	S	S	H	H	H	H	H
*	美式21	基本	硬牌	14	H	H	S	S	S	H	H	H	H	H
*	美式21	基本	硬牌	13	H	H	H	H	S	H	H	H	H	H
*	美式21	基本	硬牌	12	H	H	H	H	H	H	H	H	H	H
*	美式21	基本	硬牌	11	D	D	D	D	D	D	D	D	H	H
*	美式21	基本	硬牌	10	D	D	D	D	D	D	D	H	H	H
*	美式21	基本	硬牌	9	H	H	H	H	D	H	H	H	H	H
*	美式21	基本	硬牌	8	H	H	H	H	H	H	H	H	H	H
*	美式21	基本	硬牌	7	H	H	H	H	H	H	H	H	H	H
*	美式21	基本	硬牌	6	H	H	H	H	H	H	H	H	H	H
*	美式21	基本	硬牌	5	H	H	H	H	H	H	H	H	H	H
*	美式21	基本	硬牌	4	H	H	H	H	H	H	H	H	H	H
*	美式21	基本	軟牌	A10	S	S	S	S	S	S	S	S	S	S
*	美式21	基本	軟牌	A9	S	S	S	S	S	S	S	S	S	S
*	美式21	基本	軟牌	A8	S	S	S	S	S	S	S	S	S	S
