ID	遊戲	牌況	類型	玩家牌	2	3	4	5	6	7	8	9	10	A
*	22點	基本	對子	A	P	P	P	P	P	P	P	P	P	P
*	22點	基本	對子	10	-	P	P	P	P	P	-	-	-	-
*	22點	基本	對子	9	P	P	P	P	P	P	P	P	P	P
*	22點	基本	對子	8	P	P	P	P	P	P	P	P	P	P
*	22點	基本	對子	7	P	P	P	P	P	P	P	P	P	P
*	22點	基本	對子	6	P	P	P	P	P	P	P	P	P	P
*	22點	基本	對子	5	-	-	-	-	-	-	-	-	-	-
*	22點	基本	對子	4	P	P	P	P	P	P	P	P	P	P
*	22點	基本	對子	3	P	P	P	P	P	P	P	P	P	P
*	22點	基本	對子	2	P	P	P	P	P	P	P	P	P	P
*	22點	基本	硬牌	21	S	S	S	S	S	S	S	S	S	S
*	22點	基本	硬牌	20	S	S	S	S	S	S	S	S	S	S
*	22點	基本	硬牌	19	S	S	S	S	S	S	S	S	S	S
*	22點	基本	硬牌	18	S	S	S	S	S	S	S	S	S	Rs
*	22點	基本	硬牌	17	S	S	S	S	S	S	S	S	Rs	Rs
*	22點	基本	硬牌	16	S	S	S	S	S	H	H	R	R	R
*	22點	基本	硬牌	15	S	S	S	S	S	H	H	H	R	R
*	22點	基本	硬牌	14	S	S	S	S	S	H	H	H	R	R
*	22點	基本	硬牌	13	H	S	S	S	S	H	H	H	H	R
*	22點	基本	硬牌	12	H	H	H	H	S	H	H	H	H	R
*	22點	基本	硬牌	11	D	D	D	D	D	D	D	D	D	D
*	22點	基本	硬牌	10	D	D	D	D	D	D	D	D	D	D
*	22點	基本	硬牌	9	D	D	D	D	D	D	D	D	D	D
*	22點	基本	硬牌	8	H	H	H	H	H	H	H	H	H	R
*	22點	基本	硬牌	7	H	H	H	H	H	H	H	H	H	R
*	22點	基本	硬牌	6	H	H	H	H	H	H	H	H	H	R
*	22點	基本	硬牌	5	H	H	H	H	H	H	H	H	H	R
*	22點	基本	硬牌	4	H	H	H	H	H	H	H	H	H	R
*	22點	基本	軟牌	A10	S	S	S	S	S	S	S	S	S	S
*	22點	基本	軟牌	A9	S	S	S	S	S	S	S	S	S	S
*	22點	基本	軟牌	A8	S	S	S	S	S	S	S	S	S	S
*	22點	基本	軟牌	A7	S	S	S	Ds	Ds	S	S	H	H	H
*	22點	基本	軟牌	A6	H	H	H	D	D	H	H	H	H	H
*	22點	基本	軟牌	A5	H	H	H	H	H	H	H	H	H	H
*	22點	基本	軟牌	A4	H	H	H	H	H	H	H	H	H	H
*	22點	基本	軟牌	A3	H	H	H	H	H	H	H	H	H	H
*	22點	基本	軟牌	A2	H	H	H	H	H	H	H	H	H	H
*	22點	基本	保險	BJ									N	N
